SYM,Time,Price,Peak,Peak Time,% Potential,Mkt Cap,Sector,,Sector,Return,,Market Cap,Return
SLS,806,1.43,1.93,1320,34.97,32.49,Biotech,,Biotech ,15.72,,1 to 10,42.03
GSL,939,1.01,1.09,1153,7.92,55.57,Shipping,,Shipping,7.92,,11 to 50,11.99
EARS,942,0.69,0.98,1555,42.03,3.9,Biotech,,Oil,8.2,,51 to 100,16.46
SN,1011,1.83,1.98,1045,8.2,156.28,Oil,,Solar,14.95,,101 to 500,3.84
CRIS,1453,1.93,1.96,1559,1.55,64.7,Biotech,,Pharma ,6.77,,501 to 1 Bil,2.02
SLS,930,1.76,1.83,937,3.98,35.03,Biotech,,,,,1 Bil + ,
VVPR,931,1.84,1.93,931,4.89,19.25,Solar,,,,,,
CPHI,933,0.42,0.42,939,0,15.69,Pharma,,,,,,
AGRX,933,1.07,1.17,1531,9.35,36.1,Pharma,,,,,,
NVAX,934,1.98,2.02,939,2.02,734.58,Biotech,,,,,,
TRVN,938,1.2,1.5,946,25,54.01,Biotech,,,,,,
RGSE,941,0.4,0.5,1337,25,19.89,Solar,,,,,,
ONCS,943,1.91,1.92,1116,0.52,111.32,Biotech,,,,,,
FLKS,1006,0.62,0.73,1353,17.74,11.29,Pharma,,,,,,
TTNP,1237,0.41,0.41,1238,0,24.66,Pharma,,,,,,
